Event, Shape Type, en: Indicator Type, en: Parent Indicator Name, en: Indicator Name, ka: Indicator Name, Visible,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color
2014 Mayor Election,Region,Other,Precincts Reported (%),Precincts Reported (%),უბნებმა მოგვაწოდეს ინფორმაცია (%),false,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100,
2014 Mayor Election,Region,Other,Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (08:00-12:00),"უბნების რაოდენობა, სადაც ხმის მიცემა წუთში > 2 (08:00-12:00)",false,0,0,,0-2,0-2,,2-4,2-4,,4-6,4-6,,6-8,6-8,,8-10,8-10,,>10,>10,
2014 Mayor Election,Region,Other,Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (12:00-17:00),"უბნების რაოდენობა, სადაც ხმის მიცემა წუთში > 2 (12:00-17:00)",false,0,0,,0-2,0-2,,2-4,2-4,,4-6,4-6,,6-8,6-8,,8-10,8-10,,>10,>10,
2014 Mayor Election,Region,Other,Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2 (17:00-20:00),"უბნების რაოდენობა, სადაც ხმის მიცემა წუთში > 2 (17:00-20:00)",false,0,0,,0-2,0-2,,2-4,2-4,,4-6,4-6,,6-8,6-8,,8-10,8-10,,>10,>10,
2014 Mayor Election,Region,Other,Number of Precincts with votes per minute > 2,Number of Precincts with votes per minute > 2,"უბნების რაოდენობა, სადაც ხმის მიცემა წუთში > 2",true,0,0,,0-2,0-2,,2-4,2-4,,4-6,4-6,,6-8,6-8,,8-10,8-10,,>10,>10,
2014 Mayor Election,Region,Other,Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 0-1%,"უბნების რაოდენობა, სადაც ბათილი ბიულეტინები შეადგენს 0-1%",false
2014 Mayor Election,Region,Other,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 1-3%,"უბნების რაოდენობა, სადაც ბათილი ბიულეტინები შეადგენს 1-3%",false
2014 Mayor Election,Region,Other,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots from 3-5%,"უბნების რაოდენობა, სადაც ბათილი ბიულეტინები შეადგენს 3-5%",false
2014 Mayor Election,Region,Other,Number of Precincts with Invalid Ballots > 5%,Number of Precincts with Invalid Ballots > 5%,"უბნების რაოდენობა, სადაც ბათილი ბიულეტინები > 5%",true,0-10,0-10,,10-20,10-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,>50,>50,
2014 Mayor Election,Region,Other,Precincts with More Ballots Than Votes (%),Precincts with More Ballots Than Votes (%),საარჩევნო უბნები ხმებზე მეტი ბიულეტენებით (%),true,0,0,#93BE96,0-10,0-10,#DD776B,10-30,10-30,#BD160D,>30,>30,#8A050A
